codigo,fase,bloco,arquivo,notebook,titulo,hipotese,descricao,tabelas,n_tabelas,audit_level,run_id,atualizado_em
Fig_3A01,3,A,fase3/Fig_3A01.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A1 series semanais,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,cobertura.csv;fontes.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:49:50-0300
Fig_3A02,3,A,fase3/Fig_3A02.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A2 hovmoller ssta,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,hovmoller.csv;epicentros.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:14-0300
Fig_3A03,3,A,fase3/Fig_3A03.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A3 hovmoller sla taux,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,sla.csv;vento.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:32-0300
Fig_3B01,3,B,fase3/Fig_3B01.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Trajetória média da SSTA nas quatro fases,HIP0,"Nível médio de SSTA por evento e fase, separando El Niño e La Niña; evento é a unidade inferencial.",estatisticas_fase.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:43-0300
Fig_3B02,3,B,fase3/Fig_3B02.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Persistência observada como duração das fases,HIP0,Duração de cada estado retrospectivo; resume persistência sem tratar semanas autocorrelacionadas como réplicas.,ciclo_eventos.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:43-0300
Fig_3B03,3,B,fase3/Fig_3B03.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Extremo de cada evento ENSO completo,HIP0,Magnitude e sinal do extremo de ONI para cada evento canônico completo.,eventos.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:44-0300
Fig_3B04,3,B,fase3/Fig_3B04.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Sensibilidade da faixa de pico,HIP0,"Distribuição entre eventos da duração do pico para limiares de 80%, 90% e 95% do extremo.",sensibilidade.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:44-0300
Fig_3C01,3,C,fase3/Fig_3C01.png,notebooks/fase3/3C_precursores_lags.ipynb,3C1 heatmap lags,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,correlacoes.csv;ranking.csv;screening.csv,3,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:56-0300
Fig_3C02,3,C,fase3/Fig_3C02.png,notebooks/fase3/3C_precursores_lags.ipynb,3C2 mapa lon lag,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,mapa_longitude_lag.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:02-0300
Fig_3D01,3,D,fase3/Fig_3D01.png,notebooks/fase3/3D_rigor_estatistico.ipynb,3D1 forest ic95,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,ranking_significativo.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:19-0300
Fig_3D02,3,D,fase3/Fig_3D02.png,notebooks/fase3/3D_rigor_estatistico.ipynb,3D2 mapa lon lag fdr,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,mapa_fdr.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:47-0300
Fig_3E01,3,E,fase3/Fig_3E01.png,notebooks/fase3/3E_sensibilidade_temporal.ipynb,F3E — Estabilidade da seleção de precursores,HIP0,Frequência com que variável e lag são novamente selecionados ao reamostrar eventos ENSO completos.,bootstrap_resumo.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:58-0300
Fig_3E02,3,E,fase3/Fig_3E02.png,notebooks/fase3/3E_sensibilidade_temporal.ipynb,F3E — Distribuição do lag após reamostragem de eventos,HIP0,Variação do lag escolhido quando a unidade de reamostragem é o evento ENSO completo.,bootstrap_replicas.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:00-0300
Fig_3F01,3,F,fase3/Fig_3F01.png,notebooks/fase3/3F_kelvin_sla.ipynb,3F1 hovmoller sla kelvin,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,sla.csv;setas_kelvin.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:23-0300
Fig_3F02,3,F,fase3/Fig_3F02.png,notebooks/fase3/3F_kelvin_sla.ipynb,3F2 taux sla eventos,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,series_sla_taux.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:26-0300
Fig_3G01,3,G,fase3/Fig_3G01.png,notebooks/fase3/3G_compostos_ssta.ipynb,3G1 composto ssta noaa,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,composto_classes.csv;composto_agregado.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:39-0300
Fig_3G02,3,G,fase3/Fig_3G02.png,notebooks/fase3/3G_compostos_ssta.ipynb,3G2 escalonamento ssta,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,eventos.csv;escalonamento.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:42-0300
Fig_3G03,3,G,fase3/Fig_3G03.png,notebooks/fase3/3G_compostos_ssta.ipynb,3G3 mapa ssta lon,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,mapa_eventos.csv;estado_atual.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:52:47-0300
Fig_3H01,3,H,fase3/Fig_3H01.png,notebooks/fase3/3H_genese_precursores_classe.ipynb,3H1 compostos onset,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,compostos.csv;classes.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:04-0300
Fig_3H02,3,H,fase3/Fig_3H02.png,notebooks/fase3/3H_genese_precursores_classe.ipynb,3H2 ciclo vida,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,ciclo_medio.csv;fases.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:08-0300
Fig_3H03,3,H,fase3/Fig_3H03.png,notebooks/fase3/3H_genese_precursores_classe.ipynb,3H3 ciclo vida subsuperficie atmosfera,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,ciclo_subsuperficie_atmosfera.csv;fases.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:12-0300
Fig_3I01,3,I,fase3/Fig_3I01.png,notebooks/fase3/3I_interpretacao_integrada.ipynb,F3I - Variáveis confirmadas por Friedman + BH-FDR,HIP0,Somente variáveis com q de Friedman menor ou igual ao alfa BH-FDR da família separada por tipo ENSO; Kendall W é o tamanho de efeito.,discriminantes.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:40-0300
Fig_3I02,3,I,fase3/Fig_3I02.png,notebooks/fase3/3I_interpretacao_integrada.ipynb,F3I — Antecedência dos precursores após FDR,HIP0,"Lag selecionado somente após correção FDR por família predefinida; uso diagnóstico, não previsão operacional.",melhores_lags.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:40-0300
Fig_3I03,3,I,fase3/Fig_3I03.png,notebooks/fase3/3I_interpretacao_integrada.ipynb,F3I — Contrato de validação rolling-origin por evento,HIP0,"Tamanho de treino e teste nos folds temporais purgados; a figura audita o desenho de validação, não declara projeção futura.",folds_rolling_origin.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:40-0300
Fig_3I04,3,I,fase3/Fig_3I04.png,notebooks/fase3/3I_interpretacao_integrada.ipynb,Fase 3 — galeria padronizada de figuras,HIP0,Painel visual não analítico do inventário de figuras F3 materializadas.,catalogo.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:54:18-0300
Fig_3K01,3,K,fase3/Fig_3K01.png,notebooks/fase3/3K_pca_crescimento.ipynb,F3K — Redução dimensional por fase e sinal,HIP0,Fração descritiva da variância entre eventos explicada pela primeira componente; não é skill preditivo.,pca_variancia.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:27-0300
Fig_3K02,3,K,fase3/Fig_3K02.png,notebooks/fase3/3K_pca_crescimento.ipynb,F3K — Scree acumulado por fase,HIP0,"Variância acumulada da PCA ajustada às médias evento-fase, separadamente por tipo ENSO.",pca_variancia.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:27-0300
Fig_3K03,3,K,fase3/Fig_3K03.png,notebooks/fase3/3K_pca_crescimento.ipynb,F3K — Loadings das duas primeiras componentes,HIP0,Loadings PC1/PC2 no crescimento; rótulos mostram as dez maiores cargas absolutas em PC1.,pca_loadings.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:28-0300
Fig_3L01,3,L,fase3/Fig_3L01.png,notebooks/fase3/3L_en_ln_caracterizacao.ipynb,phase3L ciclo vida en ln,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,estatisticas_fase.csv;ciclo_eventos.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:52-0300
Fig_3L02,3,L,fase3/Fig_3L02.png,notebooks/fase3/3L_en_ln_caracterizacao.ipynb,phase3L discriminantes heatmap,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,discriminantes.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:55-0300
Fig_3L03,3,L,fase3/Fig_3L03.png,notebooks/fase3/3L_en_ln_caracterizacao.ipynb,phase3L duracao fases en ln,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,duracao.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:53-0300
Fig_3L04,3,L,fase3/Fig_3L04.png,notebooks/fase3/3L_en_ln_caracterizacao.ipynb,phase3L pca por fase,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,pca_variancia.csv;pca_loadings.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:53:56-0300
Fig_4C01_lags_regiao_bioma_el_nino,4,C,fase4/Fig_4C01_lags_regiao_bioma_el_nino.png,notebooks/fase4/4C_sinal_pixel_lags.ipynb,Lag by region and biome (el_nino),HIP1,Lag da resposta CHIRPS ao nino34_ssta por fase-fonte de el nino; fase e preditor sao medidos em t-lag. O marcador de significancia usa N_eff e BH dentro da familia declarada. CHIRPS native 0.25 + master NINO26 | IBGE 2024/2025 | lags 0-78 weeks | source phase at t-lag,lags_unidades_fases.csv;field_significance.csv,2,semantic_source,F4C_20260713T180931Z_4422ba2d_5142b6cf_4f9efc67_845974,2026-07-13T16:09:07-0300
Fig_4C02_lags_regiao_bioma_la_nina,4,C,fase4/Fig_4C02_lags_regiao_bioma_la_nina.png,notebooks/fase4/4C_sinal_pixel_lags.ipynb,Lag by region and biome (la_nina),HIP1,Lag da resposta CHIRPS ao nino34_ssta por fase-fonte de la nina; fase e preditor sao medidos em t-lag. O marcador de significancia usa N_eff e BH dentro da familia declarada. CHIRPS native 0.25 + master NINO26 | IBGE 2024/2025 | lags 0-78 weeks | source phase at t-lag,lags_unidades_fases.csv;field_significance.csv,2,semantic_source,F4C_20260713T180931Z_4422ba2d_5142b6cf_4f9efc67_845974,2026-07-13T16:09:18-0300
Fig_4C03_mapa_pixel_el_nino_pico,4,C,fase4/Fig_4C03_mapa_pixel_el_nino_pico.png,notebooks/fase4/4C_sinal_pixel_lags.ipynb,Native-pixel FDR map: el_nino_pico,HIP1,"Original CHIRPS pixels; predictor and ENSO phase at t-lag, response at t.",pixel_best_lag_FDR.csv;field_significance.csv,2,semantic_source,F4C_20260713T180931Z_4422ba2d_5142b6cf_4f9efc67_845974,2026-07-13T16:11:34-0300
Fig_4C04_mapa_pixel_la_nina_pico,4,C,fase4/Fig_4C04_mapa_pixel_la_nina_pico.png,notebooks/fase4/4C_sinal_pixel_lags.ipynb,Native-pixel FDR map: la_nina_pico,HIP1,"Original CHIRPS pixels; predictor and ENSO phase at t-lag, response at t.",pixel_best_lag_FDR.csv;field_significance.csv,2,semantic_source,F4C_20260713T180931Z_4422ba2d_5142b6cf_4f9efc67_845974,2026-07-13T16:13:47-0300
Fig_4D01_mapa_clusters_pixels_nativos,4,D,fase4/Fig_4D01_mapa_clusters_pixels_nativos.png,notebooks/fase4/4D_clusters_alvo.ipynb,Descriptive clusters on native CHIRPS pixels,HIP1,Clusters summarize F4C FDR response profiles and carry no inferential status.,clusters_pixels.csv;ranking_clusters.csv,2,semantic_source,F4D_20260713T191800Z_4422ba2d_5142b6cf_7_845974_120c32,2026-07-13T16:19:29-0300
Fig_4D02_perfis_clusters_fdr,4,D,fase4/Fig_4D02_perfis_clusters_fdr.png,notebooks/fase4/4D_clusters_alvo.ipynb,FDR response profiles of descriptive clusters,HIP1,Profiles retain ENSO type and source phase and contain only declared F4C statistics.,cluster_profiles.csv;cluster_ranking.csv,2,semantic_source,F4D_20260713T191800Z_4422ba2d_5142b6cf_7_845974_120c32,2026-07-13T16:19:30-0300
Fig_4D03_gate_multialvo_eventos,4,D,fase4/Fig_4D03_gate_multialvo_eventos.png,notebooks/fase4/4D_clusters_alvo.ipynb,Multi-target event-jackknife hypothesis gate,HIP1,Expected direction + global FDR + primary-precipitation field screen + whole-event stability; support is counted by complementary target family.,gate_tests.csv;hypothesis_summary.csv,2,semantic_source,F4D_20260713T191800Z_4422ba2d_5142b6cf_7_845974_120c32,2026-07-13T16:19:31-0300
Fig_5A01_rf,5,A,fase5/Fig_5A01_rf.png,notebooks/fase5/5_ciclo_ml.ipynb,Importância OOS das variáveis — RF,Variáveis físicas têm utilidade preditiva diferente por estado ENSO.,"Média da variação do Brier após permutação OOS, preservando valores negativos e agregando folds, horizontes, tipo ENSO e fase.",state_importance_oos.csv,1,semantic_source,F5_20260713T200749Z_8b51266dc9,2026-07-13T17:36:37-0300
Fig_5A01_xgb,5,A,fase5/Fig_5A01_xgb.png,notebooks/fase5/5_ciclo_ml.ipynb,Importância OOS das variáveis — XGB,Variáveis físicas têm utilidade preditiva diferente por estado ENSO.,"Média da variação do Brier após permutação OOS, preservando valores negativos e agregando folds, horizontes, tipo ENSO e fase.",state_importance_oos.csv,1,semantic_source,F5_20260713T202546Z_1ab5ba9292,2026-07-13T17:36:37-0300
Fig_5A02_rf,5,A,fase5/Fig_5A02_rf.png,notebooks/fase5/5_ciclo_ml.ipynb,Skill e gates OOS — RF,O modelo supera o comparador causal predefinido fora da amostra.,"Skill por horizonte de classificação e por dimensão do evento (magnitude, tempo até o pico e duração); não é PDP.",scientific_gate.csv,1,semantic_source,F5_20260713T200749Z_8b51266dc9,2026-07-13T17:36:37-0300
Fig_5A02_xgb,5,A,fase5/Fig_5A02_xgb.png,notebooks/fase5/5_ciclo_ml.ipynb,Skill e gates OOS — XGB,O modelo supera o comparador causal predefinido fora da amostra.,"Skill por horizonte de classificação e por dimensão do evento (magnitude, tempo até o pico e duração); não é PDP.",scientific_gate.csv,1,semantic_source,F5_20260713T202546Z_1ab5ba9292,2026-07-13T17:36:38-0300
